page,section,current_file,media_type,dimensions,weight_kb,related_text,what_text_claims,what_media_shows,correspondence_0_5,deception_risk,technical_quality,repetition_count,distinct_contexts,needs_replacement,required_source,stock_allowed,real_media_required,recommended_action,issue_codes,origin,languages
about-us.html,cs_gray3_bg [img],assets/img/team-img-1.jpg,image,504x585,100,Alex Carter Lead Real Estate Agent (555) 123-4567 alex@xaruhome.com,Alex Carter,Retrato de estudio de un hombre joven (modelo de stock).,0,crítico,Baja resolucion para retina (504x585),8,2,sí,Retratos corporativos reales del equipo XARU + cesion de imagen firmada,no,sí,"RETIRAR de inmediato. Un rostro de stock presentado como persona nombrada de XARU (agente, cliente o autor) es suplantacion.",DUPLICATED_MEDIA|GENERIC_STOCK|LICENSE_NOT_DOCUMENTED|LOW_RESOLUTION|MISLEADING_ALT|MODEL_RELEASE_REVIEW|REAL_MEDIA_REQUIRED|WRONG_SUBJECT,Stock de plantilla comercial Xproperty - procedencia no documentada,en|es|ar|zh
about-us.html,cs_gray3_bg [img],assets/img/team-img-2.jpg,image,504x585,66,Sarah Mitchell Property Consultant (555) 345-6789 sarah@xaruhome.com,Sarah Mitchell,Retrato de estudio de una mujer (modelo de stock).,0,crítico,Baja resolucion para retina (504x585),8,2,sí,Retratos corporativos reales del equipo XARU + cesion de imagen firmada,no,sí,"RETIRAR de inmediato. Un rostro de stock presentado como persona nombrada de XARU (agente, cliente o autor) es suplantacion.",DUPLICATED_MEDIA|GENERIC_STOCK|LICENSE_NOT_DOCUMENTED|LOW_RESOLUTION|MISLEADING_ALT|MODEL_RELEASE_REVIEW|REAL_MEDIA_REQUIRED|WRONG_SUBJECT,Stock de plantilla comercial Xproperty - procedencia no documentada,en|es|ar|zh
about-us.html,cs_gray3_bg [img],assets/img/team-img-3.jpg,image,504x585,98,James Thompson Client Relations Manager (555) 456-7890 james@xaruhome.com,James Thompson,Retrato de estudio de un hombre (modelo de stock).,0,crítico,Baja resolucion para retina (504x585),8,2,sí,Retratos corporativos reales del equipo XARU + cesion de imagen firmada,no,sí,"RETIRAR de inmediato. Un rostro de stock presentado como persona nombrada de XARU (agente, cliente o autor) es suplantacion.",DUPLICATED_MEDIA|GENERIC_STOCK|LICENSE_NOT_DOCUMENTED|LOW_RESOLUTION|MISLEADING_ALT|MODEL_RELEASE_REVIEW|REAL_MEDIA_REQUIRED|WRONG_SUBJECT,Stock de plantilla comercial Xproperty - procedencia no documentada,en|es|ar|zh
about-us.html,cs_gray3_bg [img],assets/img/team-img-4.jpg,image,504x585,192,Emily Davis Real Estate Broker (555) 567-8901 emily@xaruhome.com,Emily Davis,Retrato de estudio de una mujer (modelo de stock).,0,crítico,Baja resolucion para retina (504x585),8,2,sí,Retratos corporativos reales del equipo XARU + cesion de imagen firmada,no,sí,"RETIRAR de inmediato. Un rostro de stock presentado como persona nombrada de XARU (agente, cliente o autor) es suplantacion.",DUPLICATED_MEDIA|GENERIC_STOCK|LICENSE_NOT_DOCUMENTED|LOW_RESOLUTION|MISLEADING_ALT|MODEL_RELEASE_REVIEW|REAL_MEDIA_REQUIRED|WRONG_SUBJECT,Stock de plantilla comercial Xproperty - procedencia no documentada,en|es|ar|zh
about-us.html,cs_gray3_bg [img],assets/img/team-img-5.jpg,image,504x585,74,Daria Pimkina Real Estate Agent (555) 767-8901 pimkina@xaruhome.com,Daria Pimkina,Retrato de estudio (modelo de stock) reutilizado como agente y como avatar de panel.,0,crítico,Baja resolucion para retina (504x585),12,3,sí,Retratos corporativos reales del equipo XARU + cesion de imagen firmada,no,sí,"RETIRAR de inmediato. Un rostro de stock presentado como persona nombrada de XARU (agente, cliente o autor) es suplantacion.",DECORATIVE_MEDIA_OVERUSE|DUPLICATED_MEDIA|GENERIC_STOCK|LICENSE_NOT_DOCUMENTED|LOW_RESOLUTION|MISLEADING_ALT|MODEL_RELEASE_REVIEW|REAL_MEDIA_REQUIRED|WRONG_SUBJECT,Stock de plantilla comercial Xproperty - procedencia no documentada,en|es|ar|zh
about-us.html,cs_slider [img],assets/img/avatar-1.jpg,image,90x90,11,"Michael Williams Customer Working with them was an incredible experience! They made the entire process of buying my new home seamless and stress-free. The team was professional, responsive, and genuinely cared about my n",Michael Williams,Miniatura 90x90 de rostro de stock.,0,crítico,Baja resolucion para retina (90x90),8,1,sí,Retratos corporativos reales del equipo XARU + cesion de imagen firmada,no,sí,"RETIRAR de inmediato. Un rostro de stock presentado como persona nombrada de XARU (agente, cliente o autor) es suplantacion.",DUPLICATED_MEDIA|GENERIC_STOCK|LICENSE_NOT_DOCUMENTED|LOW_RESOLUTION|MISLEADING_ALT|MODEL_RELEASE_REVIEW|REAL_MEDIA_REQUIRED|WRONG_SUBJECT,Stock de plantilla comercial Xproperty - procedencia no documentada,en|es|ar|zh
about-us.html,cs_slider [img],assets/img/avatar-2.jpg,image,90x90,14,Sarah Thomas Property Investor,Sarah Thomas,Miniatura 90x90 de rostro de stock.,0,crítico,Baja resolucion para retina (90x90),4,1,sí,Retratos corporativos reales del equipo XARU + cesion de imagen firmada,no,sí,"RETIRAR de inmediato. Un rostro de stock presentado como persona nombrada de XARU (agente, cliente o autor) es suplantacion.",GENERIC_STOCK|LICENSE_NOT_DOCUMENTED|LOW_RESOLUTION|MISLEADING_ALT|MODEL_RELEASE_REVIEW|REAL_MEDIA_REQUIRED|WRONG_SUBJECT,Stock de plantilla comercial Xproperty - procedencia no documentada,en|es|ar|zh
about-us.html,cs_slider [img],assets/img/avatar-3.jpg,image,90x90,12,David Martinez Property Seller,David Martinez,Miniatura 90x90 de rostro de stock.,0,crítico,Baja resolucion para retina (90x90),4,1,sí,Retratos corporativos reales del equipo XARU + cesion de imagen firmada,no,sí,"RETIRAR de inmediato. Un rostro de stock presentado como persona nombrada de XARU (agente, cliente o autor) es suplantacion.",GENERIC_STOCK|LICENSE_NOT_DOCUMENTED|LOW_RESOLUTION|MISLEADING_ALT|MODEL_RELEASE_REVIEW|REAL_MEDIA_REQUIRED|WRONG_SUBJECT,Stock de plantilla comercial Xproperty - procedencia no documentada,en|es|ar|zh
agents-list.html,cs_gray2_bg [img],assets/img/team-img-5.jpg,image,504x585,74,Amanda Jones Dashboard My Property Favourite Property Add Property Profile Settings Valuable Agents Valuable Clients Change Password Logout,Amanda Jones,Retrato de estudio (modelo de stock) reutilizado como agente y como avatar de panel.,0,crítico,Baja resolucion para retina (504x585),12,3,sí,Retratos corporativos reales del equipo XARU + cesion de imagen firmada,no,sí,"RETIRAR de inmediato. Un rostro de stock presentado como persona nombrada de XARU (agente, cliente o autor) es suplantacion.",DECORATIVE_MEDIA_OVERUSE|DUPLICATED_MEDIA|GENERIC_STOCK|LICENSE_NOT_DOCUMENTED|LOW_RESOLUTION|MISLEADING_ALT|MODEL_RELEASE_REVIEW|REAL_MEDIA_REQUIRED|WRONG_SUBJECT,Stock de plantilla comercial Xproperty - procedencia no documentada,en|es|ar|zh
agents-list.html,cs_gray2_bg [img],assets/img/team-img-1.jpg,image,504x585,100,Alex Carter Lead Real Estate Agent (555) 123-4567 alex@xaruhome.com,Alex Carter,Retrato de estudio de un hombre joven (modelo de stock).,0,crítico,Baja resolucion para retina (504x585),8,2,sí,Retratos corporativos reales del equipo XARU + cesion de imagen firmada,no,sí,"RETIRAR de inmediato. Un rostro de stock presentado como persona nombrada de XARU (agente, cliente o autor) es suplantacion.",DUPLICATED_MEDIA|GENERIC_STOCK|LICENSE_NOT_DOCUMENTED|LOW_RESOLUTION|MISLEADING_ALT|MODEL_RELEASE_REVIEW|REAL_MEDIA_REQUIRED|WRONG_SUBJECT,Stock de plantilla comercial Xproperty - procedencia no documentada,en|es|ar|zh
