asset_id,page,section,usage,specific_or_category,source_platform,source_item_title,source_item_id,source_url,author,download_date,license_type,license_reference,model_release_status,property_release_status,location_release_status,ai_generated,original_filename,local_master_filename,derivative_filenames,original_dimensions,original_duration,crop,focal_point,alt_es,alt_en,alt_ar,alt_zh,magnific_used,magnific_settings,approved_by,approval_date,notes
01_hero_v2,multiple (generated from gen_i18n.py — 4 languages),Homepage hero + Company page header,Homepage hero + Company page header,category,Freepik (authorised API via connected account),Aerial view of Legzira beach at sunset,35374720,https://www.freepik.com/-_35374720.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 35374720,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,01_hero_v2.jpg,"_full/01_hero_v2.jpg (Mac Studio, off-repo master)",01_hero_v2.jpg (2200x1013 JPEG q82 progressive),5000x2303,n/a,none - full frame,centre (CSS background-position: center),"Vista aerea de una costa al atardecer, oceano y acantilados","Aerial view of a coastline at sunset, ocean and cliffs",منظر جوي لساحل عند الغروب,日落时分的海岸线航拍,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,Brand hero. Category imagery only — no asset is named on this frame.
02_island_rd,multiple (generated from gen_i18n.py — 4 languages),Private island opportunity card + ficha,Private island opportunity card + ficha,category,Freepik (authorised API via connected account),Aerial View of Lush Tropical Island with Boats at a Pier,427853663,https://www.freepik.com/-_427853663.htm,Freepik contributor (free),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 427853663,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,02_island_rd.jpg,"_full/02_island_rd.jpg (Mac Studio, off-repo master)",02_island_rd.jpg (1600x900 JPEG q82 progressive),3840x2160,n/a,none - full frame,centre (CSS background-position: center),Vista aerea de una isla privada boscosa con muelle y embarcaciones,Aerial view of a forested private island with a pier and boats,منظر جوي لجزيرة خاصة بها رصيف وقوارب,带码头与船只的私人岛屿航拍,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,Illustrates the CATEGORY 'private island'. Provenance caption rendered on the ficha.
03_land_mega,multiple (generated from gen_i18n.py — 4 languages),Developments door header + land cards,Developments door header + land cards,category,Freepik (authorised API via connected account),Explore the South Side of Java Coast,33983644,https://www.freepik.com/-_33983644.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 33983644,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,03_land_mega.jpg,"_full/03_land_mega.jpg (Mac Studio, off-repo master)",03_land_mega.jpg (1600x1067 JPEG q82 progressive),5472x3648,n/a,none - full frame,centre (CSS background-position: center),Vista aerea de una extensa llanura costera junto a kilometros de playa,Aerial view of a vast coastal plain meeting kilometres of beach,منظر جوي لسهل ساحلي شاسع,广阔滨海平原航拍,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,Illustrates the CATEGORY 'large-scale coastal land'.
04_resort_dev,multiple (generated from gen_i18n.py — 4 languages),Project structuring / resort cards,Project structuring / resort cards,category,Freepik (authorised API via connected account),Beautiful aerial view of poolside resort beach with wooden pier jetty,212733603,https://www.freepik.com/-_212733603.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 212733603,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,04_resort_dev.jpg,"_full/04_resort_dev.jpg (Mac Studio, off-repo master)",04_resort_dev.jpg (1600x1066 JPEG q82 progressive),5464x3640,n/a,none - full frame,centre (CSS background-position: center),"Vista cenital de piscina de resort, palmeras y playa","Overhead view of a resort pool, palms and beach",منظر علوي لمسبح منتجع ونخيل وشاطئ,度假村泳池、棕榈与海滩俯拍,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,Illustrates the CATEGORY 'resort development'.
05_hotel_project,multiple (generated from gen_i18n.py — 4 languages),Commercial & hospitality header + hotel cards,Commercial & hospitality header + hotel cards,category,Freepik (authorised API via connected account),"Illuminated pattern of many balconies on the facade of a modern hotel building, Dubai",62677231,https://www.freepik.com/-_62677231.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 62677231,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,05_hotel_project.jpg,"_full/05_hotel_project.jpg (Mac Studio, off-repo master)",05_hotel_project.jpg (1600x1067 JPEG q82 progressive),6240x4160,n/a,none - full frame,centre (CSS background-position: center),Fachada iluminada de un hotel moderno de noche,Illuminated facade of a modern hotel at night,واجهة فندق حديث مضاءة ليلا,现代酒店夜间亮灯立面,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,Illustrates the CATEGORY 'hotel asset'. No brand or operator identifiable.
06_masterplan_ashima,multiple (generated from gen_i18n.py — 4 languages),ASHIMA block (Company) + land-master-developments,ASHIMA block (Company) + land-master-developments,geographic-reference,Freepik (authorised API via connected account),Cactus plants overlooking beautiful seascape surrounded by mountains,31360402,https://www.freepik.com/-_31360402.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 31360402,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,06_masterplan_ashima.jpg,"_full/06_masterplan_ashima.jpg (Mac Studio, off-repo master)",06_masterplan_ashima.jpg (1600x1067 JPEG q82 progressive),5472x3648,n/a,none - full frame,centre (CSS background-position: center),Vegetacion costera seca sobre una bahia cerrada por colinas,Dry coastal vegetation overlooking a bay enclosed by hills,نباتات ساحلية جافة تطل على خليج,干旱海岸植被俯瞰海湾,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,GEOGRAPHIC REFERENCE ONLY. Explicit caption states it does not depict ASHIMA as built. Real ASHIMA media pending (see shot list).
06b_ashima_pavilion,multiple (generated from gen_i18n.py — 4 languages),ASHIMA architectural mood,ASHIMA architectural mood,category,Freepik (authorised API via connected account),"Concrete spiral staircase atrium, sunlight, plants",414929514,https://www.freepik.com/-_414929514.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 414929514,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,06b_ashima_pavilion.jpg,"_full/06b_ashima_pavilion.jpg (Mac Studio, off-repo master)",06b_ashima_pavilion.jpg (1600x897 JPEG q82 progressive),5824x3264,n/a,none - full frame,centre (CSS background-position: center),Atrio de hormigon con escalera y vegetacion tropical,Concrete atrium with staircase and tropical planting,بهو خرساني بدرج ونباتات استوائية,混凝土中庭楼梯与热带植栽,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,Architectural mood only; not a XARU building.
07_villa_dubai,multiple (generated from gen_i18n.py — 4 languages),Real Estate door header + Dubai ficha,Real Estate door header + Dubai ficha,category,Freepik (authorised API via connected account),Aerial view of luxury villas on the Palm Jumeirah artificial island,410921720,https://www.freepik.com/-_410921720.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 410921720,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,07_villa_dubai.jpg,"_full/07_villa_dubai.jpg (Mac Studio, off-repo master)",07_villa_dubai.jpg (1600x1067 JPEG q82 progressive),5900x3933,n/a,none - full frame,centre (CSS background-position: center),"Vista aerea de villas y playas privadas en Palm Jumeirah, Dubai","Aerial view of villas and private beaches on Palm Jumeirah, Dubai",منظر جوي لفلل وشواطئ خاصة في نخلة جميرا,迪拜棕榈岛别墅与私人海滩航拍,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,Correct geography (Dubai). Category imagery; caption states it is not the specific asset.
08_penthouse_london,multiple (generated from gen_i18n.py — 4 languages),London penthouse ficha + corporate services header,London penthouse ficha + corporate services header,category,Freepik (authorised API via connected account),View of London skyline by night,10590313,https://www.freepik.com/-_10590313.htm,Freepik contributor (free),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 10590313,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,08_penthouse_london.jpg,"_full/08_penthouse_london.jpg (Mac Studio, off-repo master)",08_penthouse_london.jpg (1600x1066 JPEG q82 progressive),4924x3282,n/a,none - full frame,centre (CSS background-position: center),Skyline de la City de Londres a la hora azul desde el Tamesis,City of London skyline at blue hour from the Thames,أفق مدينة لندن عند الغسق,泰晤士河畔伦敦金融城暮色天际线,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,FIXES CRITICAL AUDIT FINDING: previous file showed a Tulum house on 44 London pages.
09_villa_como,multiple (generated from gen_i18n.py — 4 languages),Private properties header + Como ficha,Private properties header + Como ficha,category,Freepik (authorised API via connected account),"Villa Cornaggia on the wooded shores of Lake Como, Italy",157723805,https://www.freepik.com/-_157723805.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 157723805,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,09_villa_como.jpg,"_full/09_villa_como.jpg (Mac Studio, off-repo master)",09_villa_como.jpg (1600x1067 JPEG q82 progressive),7008x4672,n/a,none - full frame,centre (CSS background-position: center),Villa a orillas del lago entre bosques en el lago de Como,Lakeside villa among woods on Lake Como,فيلا على ضفاف بحيرة كومو,科莫湖畔林间别墅,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,Correct geography (Lake Como). Category imagery; caption applied.
